datetime,temperature,humidity,windspeed,count
2023-01-01 00:00:00,24.36,86.3,34.1,490
2023-01-01 01:00:00,38.77,40.87,7.82,328
2023-01-01 02:00:00,33.3,33.99,25.18,225
2023-01-01 03:00:00,29.97,74.47,18.31,433
2023-01-01 04:00:00,18.9,64.47,31.04,199
2023-01-01 05:00:00,18.9,80.51,10.31,322
2023-01-01 06:00:00,16.45,38.39,25.78,374
2023-01-01 07:00:00,36.65,77.72,30.14,157
2023-01-01 08:00:00,30.03,42.1,33.34,188
2023-01-01 09:00:00,32.7,39.82,25.5,399
2023-01-01 10:00:00,15.51,39.86,19.92,320
2023-01-01 11:00:00,39.25,78.87,23.54,396
2023-01-01 12:00:00,35.81,69.91,31.07,468
2023-01-01 13:00:00,20.31,61.38,22.12,338
2023-01-01 14:00:00,19.55,51.53,5.91,261
2023-01-01 15:00:00,19.59,82.63,32.93,430
2023-01-01 16:00:00,22.61,53.55,25.69,321
2023-01-01 17:00:00,28.12,79.0,25.3,467
2023-01-01 18:00:00,25.8,56.35,11.47,115
2023-01-01 19:00:00,22.28,52.62,24.77,473
2023-01-01 20:00:00,30.3,57.76,16.82,297
2023-01-01 21:00:00,18.49,48.08,24.54,205
2023-01-01 22:00:00,22.3,74.86,8.2,96
2023-01-01 23:00:00,24.16,60.16,24.74,472
2023-01-02 00:00:00,26.4,43.93,34.98,250
2023-01-02 01:00:00,34.63,83.97,6.45,197
2023-01-02 02:00:00,19.99,53.03,34.32,173
2023-01-02 03:00:00,27.86,62.61,17.21,50
2023-01-02 04:00:00,29.81,84.39,31.12,296
2023-01-02 05:00:00,16.16,67.45,28.47,392
2023-01-02 06:00:00,30.19,37.01,22.01,177
2023-01-02 07:00:00,19.26,86.39,27.15,240
2023-01-02 08:00:00,16.63,67.66,31.36,116
2023-01-02 09:00:00,38.72,50.09,17.12,53
2023-01-02 10:00:00,39.14,38.36,14.81,491
2023-01-02 11:00:00,35.21,77.64,25.03,458
2023-01-02 12:00:00,22.62,67.2,29.24,352
2023-01-02 13:00:00,17.44,62.01,27.87,343
2023-01-02 14:00:00,32.11,83.63,28.93,192
2023-01-02 15:00:00,26.0,77.32,18.07,240
2023-01-02 16:00:00,18.05,39.1,29.54,70
2023-01-02 17:00:00,27.38,48.7,8.61,276
2023-01-02 18:00:00,15.86,44.91,21.33,362
2023-01-02 19:00:00,37.73,74.64,5.17,166
2023-01-02 20:00:00,21.47,32.01,14.74,486
2023-01-02 21:00:00,31.56,64.19,15.99,351
2023-01-02 22:00:00,22.79,75.75,16.89,191
2023-01-02 23:00:00,28.0,82.61,25.86,450
2023-01-03 00:00:00,28.67,50.52,16.66,88
2023-01-03 01:00:00,19.62,79.28,18.46,442
2023-01-03 02:00:00,39.24,36.64,12.13,404
2023-01-03 03:00:00,34.38,80.79,16.2,301
2023-01-03 04:00:00,38.49,37.65,11.82,382
2023-01-03 05:00:00,37.37,53.84,7.2,256
2023-01-03 06:00:00,29.95,77.84,23.1,259
2023-01-03 07:00:00,38.05,39.0,25.05,164
2023-01-03 08:00:00,17.21,43.76,23.58,274
2023-01-03 09:00:00,19.9,73.34,18.9,183
2023-01-03 10:00:00,16.13,73.2,16.39,300
2023-01-03 11:00:00,23.13,68.47,30.9,268
2023-01-03 12:00:00,24.72,71.64,20.57,456
2023-01-03 13:00:00,21.78,62.56,19.38,492
2023-01-03 14:00:00,35.72,45.11,5.77,140
2023-01-03 15:00:00,23.92,50.74,15.24,403
2023-01-03 16:00:00,22.02,40.9,16.41,425
2023-01-03 17:00:00,28.57,84.51,16.96,95
2023-01-03 18:00:00,18.52,65.0,22.41,87
